Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you",Please select your gender,Kindly select your age bracket,Please select your department from the list below,How would you rate the state of your mental well-being?,How would you rate the current state of your mental well-being?,"If you need support in Q6 above, please state what support you would need?",Please reflect on the mental Wellness related issues listed below and tick the areas you would like us to address on our regular sessions? (Select more than one if applicable),Mental Wellness Issues Would Like Addressed - Emotional intelligence,Mental Wellness Issues Would Like Addressed - Financial constraints,Mental Wellness Issues Would Like Addressed - Trauma,Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Relationship Difficulties,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Other (please specify),Are you going through a tough emotional situation right now?,"During the past 4 weeks, have you had any problems with your work or daily life due to any emotional problems, such as feeling depressed, sad, or anxious?","During the past 4 weeks, how often has your mental health affected your ability to get work done?","During the past two weeks, how often has your mental health affected your relationships?",Have you ever been diagnosed with a mental disorder before?,Have you seen a therapist in the recent past?,Is there a history of mental disorder in your family?,Do you feel content with your relationships and family?,When was the last time you were really happy?,When was the last time you felt good about yourself?,How often do you feel positive about your life?,When was the last time you had a positive outlook on life?,How many hours do you sleep per day?,How is your quality of sleep?,How often do you smoke?,How often do you drink?,How do you usually cope with the general stresses of life and the mental health challenges that come your way?,Coping Mechanisms - Other (please specify),"What about the amount of social support you receive from your family, friends, etc? When you have the need to talk to someone or go on outings with friends and/or relatives, do you feel there is someone who fulfills these needs?",Have you ever attended a Mental Health Awareness Session?,How would you prefer to receive information and advice about mental health?,Preferred Method of Receiving Mental Health Information - Other (please specify),Are you aware of the Employee Assistance Program services offered by Kenya Airways to all its staff and dependents through Minet?,"EAP Awareness & Usage - If yes to Question 29, have you ever accessed the service?","EAP Awareness & Usage - If no, please state the reason.",Would you like us to link you or your dependents to our professional counselors for support?
114752499027.0,I Agree,Female,25-39 years,Ground Operations,Good,I am OK and coping well,N/a,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,No,No,Few days ago,Few days ago,Once in a while,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,No,One on One session,,Yes,No,There is no need,No
114752484323.0,I Agree,Male,25-39 years,Technical,Good,I am OK and coping well,,,,Financial constraints,,,Relationship Difficulties,,,,Not Sure,Yes,Not so often,Very often,No,No,No,Yes,Few days ago,Few days ago,Once in a while,Few weeks ago,4 - 6,Good,Never,Never,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Online,,Yes,No,,No
114752478997.0,I Agree,Female,25-39 years,Flight Operations,Very Good,I am OK and coping well,,Work/job related stressors,,,,,,Unresolved Childhood Difficulties,,Health problems ,Not Sure,Not Sure,Not at all,Not so often,No,Yes,Yes,Not Sure,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,OK,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,Yes,No,I have never really needed to. ,No
114752471598.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,lots of therapy,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,Spirituality,No,Yes,Not so often,Not so often,Yes,Yes,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Very Good,Never,Once in a few weeks,I seek help from a processional counselor,seek help from religious leaders,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Group session,,Yes,Yes,,Yes
114752475164.0,I Agree,Male,25-39 years,Technical,Very Good,I am OK and coping well,,,,Financial constraints,,,,,,,Yes,Not Sure,Not so often,Somewhat often,No,No,No,Not Sure,Few weeks ago,I don't remember,Once in a while,Few days ago,4 - 6,Good,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,No,Online,,Yes,,,
114752476254.0,I Agree,Female,25-39 years,Flight Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752455764.0,I Agree,Female,25-39 years,Flight Operations,Good,I’m just there,,,Emotional intelligence,Financial constraints,,,,,,,Not Sure,Not Sure,Not so often,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Very Good,Never,Never,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,No,I don't know how to,Yes
114752448275.0,I Agree,Male,40-49 years,Ground Operations,Very Good,I am OK and coping well,no,,,Financial constraints,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Very Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,One on One session,,Yes,No,N/a,No
114752448409.0,I Agree,Female,25-39 years,Technical,Fair,I’m just there,,,,,,,Relationship Difficulties,,Anxiety and Depression,,Not Sure,Yes,Somewhat often,Somewhat often,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,I don't remember,9+,Good,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,One on One session,,Yes,No,,No
114752449545.0,I Agree,Female,40-49 years,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752443477.0,I Agree,Female,40-49 years,Commercial,Good,I am OK and coping well,,,,Financial constraints,,,,,,,No,No,Not at all,Not so often,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few weeks ago,4 - 6,Good,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,No,I have had no compelling reason to,No
114752441201.0,I Agree,Female,25-39 years,Ground Operations,Very Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,Yes,No,Not so often,Not so often,No,No,No,Yes,Few months ago,Few weeks ago,Most of the time,Few days ago,4 - 6,Bad,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,Online,,No,,,Yes
114752438751.0,I Agree,Male,40-49 years,Technical,Excellent,I am OK and coping well,,,,Financial constraints,,,,,,,No,No,Not so often,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Once in a few weeks,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,No,,No
114752433561.0,I Agree,Male,50+ years,Ground Operations,Excellent,I am OK and coping well,none,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,Not sure,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Very Good,More than once everyday,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,No,will attend next week seminaar,No
114752418530.0,I Agree,Male,25-39 years,Technical,Very Good,I am OK and coping well,,,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,No,No,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,4 - 6,OK,Never,Once everyday,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,No,,No
114752417535.0,I Agree,Male,25-39 years,Ground Operations,Excellent,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,,,,,No,No,Very often,Somewhat often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,OK,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,No,I have not yet accessed the service,No
114752414371.0,I Agree,Male,50+ years,Technical,Very Good,I am OK and coping well,NIL,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Very Good,Never,Once in a few weeks,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,Yes,Yes,,No
114752403613.0,I Agree,Male,40-49 years,Commercial,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,,,,,No,Yes,Not at all,Not so often,No,No,No,Yes,Few months ago,Few days ago,Most of the time,Few weeks ago,4 - 6,OK,Never,Once in a few weeks,I seek for available options online,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,Yes,,No
114752409482.0,I Agree,Male,25-39 years,Finance,Very Good,I am OK and coping well,,,,,,Substance and Drug Dependence,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Very Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,One on One session,,Yes,No,I need more information as regards to the services they offer,No
114752402106.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,I m ok,,,,Trauma,,,,,,Not Sure,Not Sure,Not at all,Not at all,No,No,No,Yes,Few months ago,Few months ago,Most of the time,Few months ago,4 - 6,Good,Never,Once in a few weeks,I seek help from my religious leader,I seek help by praying ,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,Yes,No,I m not busy with work ,Yes
114752412529.0,I Agree,Male,40-49 years,Flight Operations,Good,I am OK and coping well,No,Work/job related stressors,,,,,,,,,No,No,Not so often,Not at all,No,No,No,No,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I seek help from a processional counselor,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,Yes,No,Have never had any issue,No
114752412313.0,I Agree,Female,25-39 years,Ground Operations,Good,I am OK and coping well,,,Emotional intelligence,Financial constraints,,,,,,,No,No,Not so often,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Bad,Never,Never,I engage relatives and friends,I pray,Above average degree of social support (Given or potentially available from family and friends).,Yes,Group session,,Yes,No,I have never felt the need to access the service.,No
114752410277.0,I Agree,Male,25-39 years,Flight Operations,Good,I’m just there,,Work/job related stressors,Emotional intelligence,,,,Relationship Difficulties,,Anxiety and Depression,,No,Yes,Not so often,Not at all,No,No,No,Not Sure,I don't remember,I don't remember,Once in a while,Few weeks ago,7 - 9,Good,Never,Never,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,One on One session,,Yes,No,Never had reason to,No
114752405836.0,I Agree,Male,40-49 years,Flight Operations,Very Good,I am OK and coping well,,Work/job related stressors,,,,,,,,Toxic and arrogant 737 Fleet Manager,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Very Good,Never,Never,I engage relatives and friends,I pray to God the Most loving and Mercifull,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Pamphlets and nuggets,,Yes,No,All thanks to God my life has been bleased. I derive so much joy in my job. Flying has been my passion and dream...I am living my Dream. I am doing what I truly love. I cannot thank God enough for such an amazing blessing.,No
114752402162.0,I Agree,Female,25-39 years,Ground Operations,Fair,I’m just there,,Work/job related stressors,,Financial constraints,,,,,Anxiety and Depression,,Not Sure,No,Not so often,Not so often,Yes,Yes,No,Yes,Few days ago,Few days ago,Most of the time,Few weeks ago,4 - 6,OK,Never,Never,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,Yes,No,I have never reached out to them,No
114752401992.0,I Agree,Male,25-39 years,Flight Operations,Very Good,I am OK and coping well,NO,Work/job related stressors,,,,,,,,,Not Sure,No,Not at all,Not at all,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Never,I keep my issues to myself,KEEPING MYSELF BUSY WITH WORK,"Below average degree of social support (While some support is available, it's not consistently available).",No,Online,,No,,,Yes
114752403219.0,I Agree,Female,25-39 years,Technical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752391161.0,I Agree,Male,25-39 years,Flight Operations,Excellent,I am OK and coping well,NIL,Work/job related stressors,Emotional intelligence,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Online,,Yes,No,NO NEED,No
114752384015.0,I Agree,Male,25-39 years,Corporate Communications & Public Affairs,Good,I’m just there,,,,Financial constraints,,,,,,,Not Sure,No,Not so often,Not so often,No,No,No,Not Sure,I don't remember,I don't remember,Once in a while,Few days ago,7 - 9,Good,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,No,,,No
114752388974.0,I Agree,Female,25-39 years,Flight Operations,Fair,I’m just there,I am already getting help ,Work/job related stressors,,Financial constraints,,,,,,,Yes,No,Not at all,Somewhat often,No,Yes,No,Not Sure,I don't remember,Few years ago,Most of the time,Few days ago,4 - 6,OK,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,Yes,N.A,No
114752386190.0,I Agree,Male,25-39 years,Technical,Very Good,I am OK and coping well,I'm very much okay ,Work/job related stressors,,Financial constraints,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Very Good,Once everyday,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,Yes,,No
114752383441.0,I Agree,Female,25-39 years,Commercial,Fair,I’m just there,na,Work/job related stressors,,,,,,,,,Yes,Yes,Not at all,Very often,No,No,No,No,I don't remember,Few days ago,About half the time,Few months ago,4 - 6,OK,Never,Never,I keep my issues to myself,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,No,,,No
